date,supplyT,returnT,volume,energy,flow,Frederikshavn Temperature [2 m elevation corrected],OT
2019-12-28 21:00:00,69.572,43.014,156332.1,2849760.0,2.0832,0.74728507,64.12
2019-12-28 22:00:00,69.285,43.45,156333.30000000002,2849800.0,1.374,0.797285,41.325
2019-12-28 23:00:00,68.79400000000001,38.938,156334.5,2849840.0,1.4495999999999998,0.74728507,50.66
2019-12-29 00:00:00,68.89,38.080000000000005,156335.2,2849860.0,1.104,0.737285,38.73333333333333
2019-12-29 01:00:00,68.91666666666667,38.75333333333334,156336.80000000002,2849920.0,1.088,0.62728506,37.833333333333336
2019-12-29 02:00:00,68.87666666666667,38.806666666666665,156337.9,2849960.0,1.1840000000000002,0.287285,39.16666666666666
2019-12-29 03:00:00,68.92333333333333,38.373333333333335,156339.0,2849990.0,1.096,0.24728502,36.93333333333334
2019-12-29 04:00:00,69.155,38.725,156341.0,2850060.0,1.83,0.75728506,63.875
2019-12-29 05:00:00,69.5,42.63,156342.7,2850120.0,1.848,1.177285,57.1
2019-12-29 06:00:00,69.36333333333334,41.95666666666667,156344.30000000002,2850170.0,1.864,1.667285,59.06666666666666
2019-12-29 07:00:00,69.3425,40.535,156346.6,2850240.0,1.872,2.1672852,63.0
2019-12-29 08:00:00,69.32000000000001,40.49333333333333,156348.1,2850290.0,1.7919999999999998,2.6872852,59.5
2019-12-29 09:00:00,68.03,41.41333333333333,156349.7,2850340.0,1.624,3.2472851,49.6
2019-12-29 10:00:00,66.354,40.132,156351.9,2850410.0,1.6368000000000005,3.9972851,49.72
2019-12-29 11:00:00,65.96399999999998,40.958000000000006,156353.7,2850460.0,1.7759999999999998,4.707285,51.62
2019-12-29 12:00:00,65.752,40.4,156355.5,2850510.0,1.7856,5.227285,52.14
2019-12-29 13:00:00,65.78599999999999,39.782,156357.2,2850560.0,1.8432,5.777285,55.0
2019-12-29 14:00:00,65.962,39.218,156359.1,2850620.0,2.0784,6.3072853,64.42
